K..Mandi,K..Tidur,L..Bangunan,Sertifikat,Tipe.Properti,Kota,Price
1876,1,1,187,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2400000000
1877,1,2,56,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,950000000
1878,2,2,146,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,4900000000
1879,3,4,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,3500000000
1880,2,1,97,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,2600000000
1881,4,4,180,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3200000000
1882,2,3,132,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,2370000000
1883,1,2,73,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,1500000000
1884,3,3,140,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1490000000
1885,3,4,220,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,4400000000
1886,1,1,26,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,830000000
1887,1,2,46,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,650000000
1888,2,3,163,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,4200000000
1889,1,1,57,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,1000000000
1890,2,3,150,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1800000000
1891,1,1,30,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,1200000000
1892,2,2,123,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,5100000000
1893,2,3,100,SHM - Sertifikat Hak Milik,Rumah,Depok,1150000000
1894,3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1400000000
1895,1,2,45,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,950000000
1896,2,3,88,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,2000000000
1897,1,2,42,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,950000000
1898,1,2,49,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,1000000000
1899,3,3,197,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2570000000
1900,2,3,116,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,3000000000
1901,1,1,22,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,365000000
1902,3,3,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,2200000000
1903,1,2,42,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,430000000
1904,1,1,38,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,1350000000
1905,2,4,266,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3900000000
1906,1,2,52,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,1500000000
1907,2,4,110,SHM - Sertifikat Hak Milik,Rumah,Depok,1300000000
1908,3,4,225,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,5100000000
1909,1,2,77,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,2200000000
1910,2,3,90,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,2300000000
1911,2,4,110,SHM - Sertifikat Hak Milik,Rumah,Depok,1300000000
1912,2,3,80,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,765000000
1913,3,4,130,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2050000000
1914,2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1210000000
1915,4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
1916,3,4,158,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2200000000
1917,2,2,92,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,3550000000
1918,3,4,185,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,4100000000
1919,2,4,200,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,4500000000
1920,1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,350000000
1921,3,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1550000000
1922,2,3,158,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,3600000000
1923,1,1,29,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,400000000
1924,1,1,43,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1200000000
1925,1,2,42,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1000000000
1926,2,3,100,SHM - Sertifikat Hak Milik,Rumah,Depok,1150000000
1927,2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,880000000
1928,1,2,34,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,350000000
1929,3,3,85,SHM - Sertifikat Hak Milik,Rumah,Depok,1600000000
1930,1,2,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,400000000
1931,2,3,60,SHM - Sertifikat Hak Milik,Rumah,Depok,948000000
1932,1,2,50,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1560000000
1933,1,2,48,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,1400000000
1934,2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1080000000
1935,3,3,90,SHM - Sertifikat Hak Milik,Rumah,Depok,1450000000
1936,1,2,50,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1150000000
1937,3,3,165,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,3680000000
1938,2,3,84,SHM - Sertifikat Hak Milik,Rumah,Depok,1000000000
1939,1,2,34,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,390000000
1940,3,3,185,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,3350000000
1941,1,1,31,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,900000000
1942,2,2,80,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,1500000000
1943,1,2,38,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,700000000
1944,4,4,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2400000000
1945,1,1,38,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,1100000000
1946,1,2,35,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,560000000
1947,1,2,91,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,3250000000
1948,3,4,240,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,5000000000
1949,2,2,153,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,4300000000
1950,2,3,200,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,3600000000
1951,1,2,58,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,1650000000
1952,2,3,50,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,650000000
1953,1,1,28,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,350000000
1954,2,2,54,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,890000000
1955,1,1,23,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,450000000
1956,2,3,84,SHM - Sertifikat Hak Milik,Rumah,Depok,1000000000
1957,3,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2070000000
1958,1,2,45,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,1350000000
1959,2,2,85,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1500000000
1960,1,2,74,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1750000000
1961,1,1,33,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,530000000
1962,2,2,200,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,1600000000
1963,2,3,76,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1290000000
1964,1,2,32,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,490000000
1965,1,1,32,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,633000000
1966,1,2,52,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,1500000000
1967,2,3,129,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,5500000000
1968,4,4,198,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2600000000
1969,1,2,40,SHM - Sertifikat Hak Milik,Apartemen,Depok,675000000
1970,3,4,180,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,3500000000
1971,3,4,122,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2300000000
1972,2,3,300,HGB - Hak Guna Bangunan,Rumah,Jakarta Utara,2590000000
1973,3,4,155,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2270000000
1974,3,4,170,SHM - Sertifikat Hak Milik,Rumah,Depok,2300000000
1975,2,3,122,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
1976,3,3,120,SHM - Sertifikat Hak Milik,Rumah,Depok,1400000000
1977,3,4,150,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,3300000000
1978,2,3,110,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,2000000000
1979,1,1,33,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,250000000
1980,1,1,23,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,425000000
1981,1,2,32,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,275000000
1982,2,3,68,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,2300000000
1983,2,2,67,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,980000000
1984,3,3,130,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1850000000
1985,1,2,33,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,330000000
1986,2,3,100,SHM - Sertifikat Hak Milik,Rumah,Depok,1150000000
1987,3,4,230,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,5000000000
1988,1,1,21,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,270000000
1989,1,1,62,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,1300000000
1990,2,2,119,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,2600000000
1991,1,2,40,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,400000000
1992,2,2,65,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1900000000
1993,2,3,110,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,2900000000
1994,1,2,42,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,650000000
1995,4,4,200,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2620000000
1996,4,4,208,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3500000000
1997,2,3,130,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2400000000
1998,3,3,100,SHM - Sertifikat Hak Milik,Rumah,Depok,1300000000
1999,1,1,24,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,760000000
2000,1,2,43,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,621000000
2001,1,1,21,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,400000000
2002,1,2,66,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,1300000000
2003,2,3,80,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1150000000
2004,1,2,60,HGB - Hak Guna Bangunan,Rumah,Tangerang Selatan,950000000
2005,1,2,88,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,1550000000
2006,2,3,65,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1900000000
2007,1,1,64,SHM - Sertifikat Hak Milik,Apartemen,Depok,2000000000
2008,2,4,140,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1850000000
2009,4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
2010,2,3,93,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
2011,3,3,200,SHM - Sertifikat Hak Milik,Rumah,Depok,2900000000
2012,4,4,170,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2700000000
2013,1,1,21,SHM - Sertifikat Hak Milik,Apartemen,Depok,340000000
2014,2,2,165,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,3500000000
2015,1,1,35,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,350000000
2016,1,2,43,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,649000000
2017,4,3,300,SHM - Sertifikat Hak Milik,Rumah,Depok,3800000000
2018,1,1,26,SHM - Sertifikat Hak Milik,Apartemen,Depok,980000000
2019,1,1,22,HGB - Hak Guna Bangunan,Apartemen,Depok,320000000
2020,2,3,93,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
2021,1,1,22,SHM - Sertifikat Hak Milik,Apartemen,Depok,330000000
2022,1,1,21,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,330000000
2023,3,3,197,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2570000000
2024,2,2,63,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,1100000000
2025,4,3,125,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1700000000
2026,3,3,102,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1890000000
2027,2,3,148,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,5300000000
2028,2,3,68,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,925000000
2029,4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
2030,1,2,90,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2500000000
2031,3,3,140,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1600000000
2032,1,2,31,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,650000000
2033,2,3,118,HGB - Hak Guna Bangunan,Apartemen,Jakarta Utara,2600000000
2034,1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,250000000
2035,3,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2100000000
2036,2,3,95,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,1500000000
2037,1,1,38,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,1200000000
2038,3,4,155,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2270000000
2039,1,1,116,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,4200000000
2040,1,1,37,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,1100000000
2041,1,1,90,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1100000000
2042,4,4,271,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,5500000000
2043,2,3,80,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1150000000
2044,1,1,31,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,285000000
2045,2,3,142,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,4200000000
2046,3,4,170,SHM - Sertifikat Hak Milik,Rumah,Depok,2300000000
2047,2,2,46,SHM - Sertifikat Hak Milik,Rumah,Depok,599000000
2048,1,1,29,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,600000000
2049,2,3,117,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,2200000000
2050,2,3,130,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,4500000000
2051,3,4,155,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2270000000
2052,3,4,190,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3200000000
2053,2,3,100,SHM - Sertifikat Hak Milik,Rumah,Depok,1150000000
2054,2,4,225,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,5700000000
2055,4,4,250,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,3700000000
2056,1,2,48,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1100000000
2057,2,3,94,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1140000000
2058,2,3,95,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,3300000000
2059,3,3,219,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2600000000
2060,1,2,39,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,390000000
2061,1,1,26,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,525000000
2062,1,2,49,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,1600000000
2063,1,2,34,SHM - Sertifikat Hak Milik,Rumah,Depok,765000000
2064,1,2,42,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,950000000
2065,3,3,140,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1600000000
2066,2,3,93,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
2067,1,2,50,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,650000000
2068,3,3,140,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1620000000
2069,1,2,42,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,835000000
2070,2,2,36,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,480000000
2071,2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,880000000
2072,1,1,42,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,1200000000
2073,3,4,170,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2690000000
2074,3,3,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,2200000000
2075,2,3,125,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1300000000
2076,2,3,86,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
2077,1,1,51,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1540000000
2078,2,3,2,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,2000000000
2079,1,1,37,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,680000000
2080,1,1,20,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,400000000
2081,2,3,65,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1900000000
2082,1,2,113,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,2800000000
2083,1,2,34,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,580000000
2084,1,2,51,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,1100000000
2085,3,4,125,SHM - Sertifikat Hak Milik,Rumah,Depok,1350000000
2086,1,1,71,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,990000000
2087,3,3,400,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,4250000000
2088,3,4,300,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,3500000000
2089,1,1,48,HGB - Hak Guna Bangunan,Apartemen,Depok,525000000
2090,1,2,42,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,950000000
2091,2,2,75,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,700000000
2092,1,3,135,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1850000000
2093,1,1,30,HP - Hak Pakai,Apartemen,Depok,535000000
2094,1,1,43,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,675000000
2095,2,3,139,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,3200000000
2096,3,3,120,SHM - Sertifikat Hak Milik,Rumah,Depok,1700000000
2097,3,3,130,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2500000000
2098,3,1,216,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1950000000
2099,1,2,35,HGB - Hak Guna Bangunan,Apartemen,Jakarta Utara,399000000
2100,3,3,230,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,3600000000
2101,1,2,44,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2050000000
2102,3,3,84,SHM - Sertifikat Hak Milik,Rumah,Depok,1590000000
2103,1,1,26,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,850000000
2104,1,2,60,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,1350000000
2105,2,3,95,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,1950000000
2106,3,2,70,HGB - Hak Guna Bangunan,Rumah,Jakarta Barat,1870000000
2107,2,3,122,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
2108,3,4,76,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2100000000
2109,3,4,137,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,3200000000
2110,1,2,36,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,340000000
2111,2,3,55,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Utara,1690000000
2112,1,1,34,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1750000000
2113,2,3,91,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1430000000
2114,1,2,42,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,650000000
2115,3,3,84,SHM - Sertifikat Hak Milik,Rumah,Depok,1850000000
2116,2,2,50,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,952000000
2117,1,2,36,HGB - Hak Guna Bangunan,Apartemen,Depok,450000000
2118,2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,880000000
2119,1,2,60,HP - Hak Pakai,Apartemen,Jakarta Pusat,850000000
2120,1,1,30,HGB - Hak Guna Bangunan,Apartemen,Depok,597000000
2121,1,1,37,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,775000000
2122,2,2,126,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,5000000000
2123,4,3,220,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,3700000000
2124,1,2,42,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,900000000
2125,2,3,100,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2360000000
2126,2,4,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,2400000000
2127,1,1,37,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,575000000
2128,1,1,22,SHM - Sertifikat Hak Milik,Apartemen,Depok,285000000
2129,1,2,55,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,1000000000
2130,3,4,170,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2690000000
2131,1,1,29,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,780000000
2132,4,4,300,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,4500000000
2133,1,2,34,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,575000000
2134,1,1,65,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,4750000000
2135,1,4,157,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,4000000000
2136,1,1,26,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,550000000
2137,3,3,155,SHM - Sertifikat Hak Milik,Rumah,Depok,1720000000
2138,2,3,93,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2180000000
2139,1,2,42,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,650000000
2140,1,2,33,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,1100000000
2141,1,1,37,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1250000000
2142,5,4,520,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,4700000000
2143,2,2,80,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1200000000
2144,1,1,51,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,1250000000
2145,1,2,66,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,1250000000
2146,4,4,240,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,4150000000
2147,1,2,153,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,4500000000
2148,2,3,250,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,4700000000
2149,2,3,117,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,1370000000
2150,2,3,66,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,1300000000
2151,3,3,230,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,3600000000
2152,2,3,94,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,2800000000
2153,1,2,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,260000000
2154,1,2,43,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,280000000
2155,4,4,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2400000000
2156,3,3,140,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1600000000
2157,2,3,192,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,3400000000
2158,2,3,105,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,2000000000
2159,3,3,209,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,3600000000
2160,2,2,130,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,3600000000
2161,2,4,99,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1000000000
2162,2,2,65,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1900000000
2163,2,3,90,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,1290000000
2164,1,1,43,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1200000000
2165,2,3,110,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,2000000000
2166,2,3,86,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
2167,2,2,88,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1800000000
2168,4,4,180,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2350000000
2169,1,2,70,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,2500000000
2170,1,2,60,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,750000000
2171,3,3,85,SHM - Sertifikat Hak Milik,Rumah,Depok,1600000000
2172,2,3,170,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1050000000
2173,1,1,27,SHM - Sertifikat Hak Milik,Apartemen,Depok,650000000
2174,2,3,88,HGB - Hak Guna Bangunan,Apartemen,Depok,650000000
2175,2,2,165,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2750000000
2176,4,4,90,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2000000000
2177,3,4,154,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,4700000000
2178,2,2,153,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,4800000000
2179,3,3,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,2200000000
