kamar_mandi,kamar_tidur,luas_bangunan,sertifikat,tipe_properti,kota,harga
1,1,23,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,600000000
2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,860000000
3,3,300,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,4200000000
2,3,88,SHM - Sertifikat Hak Milik,Rumah,Depok,1510000000
3,3,105,SHM - Sertifikat Hak Milik,Rumah,Depok,1250000000
1,1,22,HGB - Hak Guna Bangunan,Apartemen,Depok,530000000
2,2,53,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,1400000000
2,3,125,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1300000000
1,2,62,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,948000000
3,4,150,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,3700000000
2,3,60,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,785000000
2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1400000000
1,1,28,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,365000000
1,2,35,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,560000000
2,3,105,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1770000000
3,4,121,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1690000000
2,3,106,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1300000000
2,2,123,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,5100000000
3,3,120,SHM - Sertifikat Hak Milik,Rumah,Depok,1400000000
4,4,240,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,3800000000
1,1,34,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1750000000
2,3,80,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,960000000
1,1,22,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,360000000
3,4,130,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,2800000000
1,2,115,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1800000000
2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,990000000
3,3,142,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Utara,5900000000
1,2,36,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,480000000
2,3,60,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,785000000
1,1,72,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,550000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1960000000
1,1,28,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,515000000
4,4,180,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2350000000
2,2,92,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,2850000000
2,2,146,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,4500000000
1,1,26,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,475000000
1,1,30,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,725000000
1,1,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,719000000
3,2,120,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1700000000
1,2,55,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,800000000
1,1,43,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1350000000
1,1,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,850000000
2,3,145,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,2900000000
2,3,176,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,2900000000
3,3,110,SHM - Sertifikat Hak Milik,Rumah,Depok,1350000000
3,3,210,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2700000000
4,4,66,SHM - Sertifikat Hak Milik,Rumah,Depok,1000000000
2,2,49,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,1200000000
1,1,21,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,300000000
1,1,41,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,944000000
1,1,57,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,850000000
2,4,92,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1850000000
1,2,58,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,950000000
3,3,193,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,5900000000
1,2,45,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1350000000
1,1,22,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,350000000
2,3,88,SHM - Sertifikat Hak Milik,Rumah,Depok,1510000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1520000000
2,3,105,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2300000000
2,3,105,SHM - Sertifikat Hak Milik,Rumah,Depok,1350000000
3,3,112,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1700000000
1,2,35,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,275000000
1,2,35,HGB - Hak Guna Bangunan,Apartemen,Depok,320000000
1,1,37,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,950000000
3,4,155,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2270000000
2,3,65,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,1950000000
3,4,190,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3200000000
2,3,105,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,2850000000
1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,800000000
3,3,140,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1490000000
3,3,140,SHM - Sertifikat Hak Milik,Rumah,Depok,1700000000
1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,260000000
2,3,82,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1140000000
1,1,23,HGB - Hak Guna Bangunan,Apartemen,Depok,280000000
1,1,51,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,1120000000
1,2,57,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,1100000000
3,3,140,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1900000000
3,3,80,SHM - Sertifikat Hak Milik,Rumah,Depok,1610000000
1,2,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,800000000
1,2,33,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,440000000
1,2,43,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,950000000
1,2,49,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1700000000
3,3,110,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1650000000
2,2,135,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,2500000000
3,4,155,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2270000000
2,3,63,HGB - Hak Guna Bangunan,Rumah,Tangerang Selatan,1350000000
1,1,41,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,750000000
4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2000000000
1,2,35,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,500000000
3,4,245,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,5300000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1520000000
3,3,132,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1850000000
4,3,380,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,4900000000
1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,575000000
1,2,48,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,1200000000
1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,575000000
1,2,61,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,1200000000
4,4,200,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2340000000
1,2,40,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,630000000
4,4,110,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1500000000
2,3,122,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
2,2,65,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1900000000
2,3,80,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,960000000
2,2,60,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,980000000
3,3,179,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,5400000000
1,1,22,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,392000000
1,2,32,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,460000000
4,3,201,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3250000000
2,2,78,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2000000000
1,2,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,330000000
1,2,40,SHM - Sertifikat Hak Milik,Apartemen,Depok,600000000
1,2,38,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,680000000
3,4,160,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2850000000
2,2,121,HGB - Hak Guna Bangunan,Apartemen,Jakarta Utara,1900000000
3,4,88,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1500000000
3,3,124,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Utara,2400000000
1,2,47,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,850000000
2,3,88,SHM - Sertifikat Hak Milik,Rumah,Depok,1510000000
2,2,128,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,4000000000
2,2,35,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,480000000
2,3,76,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,750000000
2,3,57,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,760000000
1,2,85,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,1420000000
2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,860000000
1,1,30,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,830000000
2,3,135,HGB - Hak Guna Bangunan,Apartemen,Jakarta Utara,4500000000
1,1,50,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,700000000
3,3,175,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,3850000000
2,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1430000000
4,4,200,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2620000000
1,2,54,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,1250000000
3,3,150,SHM - Sertifikat Hak Milik,Rumah,Depok,3500000000
5,4,240,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,3150000000
2,3,65,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,2300000000
3,3,161,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2700000000
1,2,60,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,1250000000
3,2,62,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1790000000
1,2,48,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,1200000000
3,4,155,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2270000000
2,3,93,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2180000000
1,2,78,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,2800000000
3,3,200,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2500000000
3,4,155,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2270000000
1,2,35,HGB - Hak Guna Bangunan,Apartemen,Jakarta Utara,330000000
3,4,242,HGB - Hak Guna Bangunan,Rumah,Jakarta Utara,4370000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1960000000
2,3,133,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1590000000
3,3,190,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1970000000
3,4,185,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,3700000000
3,3,184,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,4200000000
2,3,256,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3300000000
1,1,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,1000000000
3,4,250,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,3500000000
2,2,60,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,700000000
1,1,29,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,600000000
1,3,48,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,850000000
1,2,51,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,1850000000
3,4,220,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,4400000000
1,2,35,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,450000000
1,1,17,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,270000000
1,2,66,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,1600000000
3,1,202,HGB - Hak Guna Bangunan,Rumah,Jakarta Utara,5900000000
1,1,48,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,850000000
1,1,50,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1650000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1300000000
1,2,42,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,650000000
1,2,37,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,900000000
3,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2070000000
3,3,80,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2000000000
2,3,65,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1900000000
2,3,110,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,2500000000
3,3,110,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1900000000
3,3,84,SHM - Sertifikat Hak Milik,Rumah,Depok,1590000000
3,3,83,SHM - Sertifikat Hak Milik,Rumah,Depok,1260000000
1,1,40,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1100000000
1,1,30,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,646000000
3,4,250,SHM - Sertifikat Hak Milik,Rumah,Depok,5300000000
2,3,115,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,1900000000
2,4,208,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,5000000000
3,3,200,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,4300000000
1,2,38,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,750000000
3,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2100000000
1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,450000000
1,1,31,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,625000000
1,1,45,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,900000000
1,1,33,HGB - Hak Guna Bangunan,Apartemen,Depok,800000000
1,1,38,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,1420000000
1,2,40,SHM - Sertifikat Hak Milik,Rumah,Depok,908000000
1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,350000000
1,1,28,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,949000000
3,4,250,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,4900000000
3,4,175,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2000000000
2,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1700000000
3,3,83,SHM - Sertifikat Hak Milik,Rumah,Depok,1260000000
2,3,90,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Tangerang Selatan,2600000000
1,1,21,HGB - Hak Guna Bangunan,Apartemen,Depok,290000000
4,4,180,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2350000000
1,2,35,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,550000000
1,2,32,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,425000000
3,4,200,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,3500000000
1,2,60,SHM - Sertifikat Hak Milik,Apartemen,Depok,1550000000
1,1,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,600000000
1,2,45,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,1350000000
1,2,34,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,600000000
1,1,80,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,1500000000
2,2,49,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1100000000
1,2,55,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,725000000
2,3,76,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1290000000
1,2,64,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,2600000000
4,4,200,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,3480000000
3,3,110,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1000000000
1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,300000000
3,3,200,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,3040000000
1,1,26,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,600000000
1,1,34,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,600000000
1,2,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,350000000
1,1,220,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,4500000000
1,2,34,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,495000000
1,2,50,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,2700000000
3,4,159,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2500000000
1,1,23,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,450000000
2,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2200000000
3,3,140,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1490000000
1,1,24,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,500000000
1,2,52,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,1150000000
1,2,35,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,400000000
4,4,250,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,3700000000
2,3,100,SHM - Sertifikat Hak Milik,Rumah,Depok,1150000000
2,3,96,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,2250000000
2,3,122,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
1,1,28,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,750000000
1,1,22,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,485000000
1,2,12,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,1500000000
2,3,167,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,5900000000
1,2,52,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,1500000000
3,3,220,SHM - Sertifikat Hak Milik,Rumah,Depok,1400000000
4,4,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2400000000
1,2,38,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,684000000
4,4,162,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,4500000000
2,3,128,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,2900000000
1,1,23,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,860000000
3,4,250,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,2650000000
1,1,46,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,1080000000
1,2,48,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,600000000
1,1,28,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,675000000
3,4,129,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,3350000000
4,4,161,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2700000000
2,3,91,SHM - Sertifikat Hak Milik,Rumah,Depok,2130000000
3,3,105,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,1450000000
2,2,123,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,5750000000
3,4,160,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Utara,5700000000
1,2,48,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,650000000
1,1,33,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,1300000000
3,3,80,SHM - Sertifikat Hak Milik,Rumah,Depok,1610000000
2,3,85,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,976000000
2,3,88,HGB - Hak Guna Bangunan,Apartemen,Depok,650000000
1,1,51,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,1250000000
3,4,150,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,3470000000
3,3,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1800000000
3,3,180,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,3750000000
3,3,80,SHM - Sertifikat Hak Milik,Rumah,Depok,1610000000
1,1,51,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1200000000
3,4,250,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,5500000000
3,3,93,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,950000000
1,1,22,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,740000000
1,2,33,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,510000000
3,3,182,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Tangerang Selatan,3100000000
1,1,45,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,750000000
3,4,90,SHM - Sertifikat Hak Milik,Rumah,Depok,1430000000
2,3,250,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1600000000
3,3,450,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,4200000000
2,3,93,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2180000000
1,2,62,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1700000000
1,2,64,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,1200000000
2,3,80,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,960000000
1,2,45,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,1350000000
1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,290000000
2,3,70,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1120000000
2,3,55,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Utara,1690000000
1,1,43,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,1500000000
1,2,51,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,1250000000
3,3,151,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,3750000000
3,3,120,SHM - Sertifikat Hak Milik,Rumah,Depok,1700000000
2,4,144,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,3200000000
1,2,30,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,650000000
2,2,46,SHM - Sertifikat Hak Milik,Rumah,Depok,599000000
1,2,63,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1150000000
3,4,90,SHM - Sertifikat Hak Milik,Rumah,Depok,1430000000
3,4,155,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2270000000
2,3,146,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,2850000000
1,2,31,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,350000000
2,3,192,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,1650000000
1,1,31,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,620000000
1,3,91,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,2200000000
1,1,33,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,400000000
2,4,135,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1650000000
3,3,159,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1900000000
4,3,167,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2700000000
3,3,135,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,3900000000
1,1,38,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1100000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1520000000
3,3,74,SHM - Sertifikat Hak Milik,Rumah,Depok,1590000000
2,3,60,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,755000000
3,3,192,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,1970000000
2,2,54,SHM - Sertifikat Hak Milik,Rumah,Depok,390000000
2,3,136,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,3500000000
1,3,91,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,2200000000
1,2,65,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,2600000000
2,3,112,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2000000000
1,2,59,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,1200000000
2,3,110,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1750000000
4,4,115,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3300000000
1,2,45,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,810000000
4,4,200,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2800000000
3,4,170,SHM - Sertifikat Hak Milik,Rumah,Depok,2300000000
3,4,78,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2100000000
2,3,76,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1290000000
1,2,35,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,550000000
2,3,280,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,5500000000
2,3,80,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,850000000
1,1,25,SHM - Sertifikat Hak Milik,Apartemen,Depok,645000000
3,3,197,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2570000000
1,2,79,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,3200000000
